task,name,input_count,reference_count,resolution,input_source,same_domain,pairing,degradation_profile,year_venue,citation_key,source_title,source_url,selected_evaluation
denoising,CC15,15,15,Mixed,Real,Yes,Real paired,Camera noise,CVPR 2016,nam2016holistic,A holistic approach to cross-channel image noise modeling and its application to image denoising,,no
denoising,SIDD,"3,000","3,000",Mixed,Real,Yes,Real paired,Smartphone camera/ISP noise,CVPR 2018,abdelhamed2018high,A high-quality denoising dataset for smartphone cameras,https://abdokamel.github.io/sidd/,no
denoising,PolyU,100,100,512×512,Real,Yes,Real paired,Camera noise,arXiv 2018,xu2018real,Real-world noisy image denoising: A new benchmark,https://arxiv.org/abs/1804.02603,no
denoising,RENOIR,240,240,Mixed,Real,Yes,Real paired,Camera noise,JVCIR 2018,anaya2018renoir,Renoir--a dataset for real low-light image noise reduction,https://adrianbarburesearch.blogspot.com/p/renoir-dataset.html,yes
denoising,SIDD+,"2,048","2,048",256×256,Real,Yes,Real paired,Smartphone camera/ISP noise,CVPRW 2020,abdelhamed2020ntire,"Ntire 2020 challenge on real image denoising: Dataset, methods and results",,no
denoising,SenseNoise-500,"2,000",500,3000×4000,Real,Yes,Real paired,Smartphone RAW camera noise,CVPR 2022,zhang2022idr,Idr: Self-supervised image denoising via iterative data refinement,,no
deraining,SPA-Data,"29,500","29,500",NR,Real,Yes,Real paired,Rain streak,CVPR 2019,wang2019spatial,Spatial attentive single-image deraining with a high quality real rain dataset,https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Spatial_Attentive_Single-Image_Deraining_With_a_High_Quality_Real_Rain_CVPR_2019_paper.html,yes
deraining,RainDS-real,750,250,NR,Real,Yes,Real paired,"Streak, drop, and mixed rain",CVPR 2021,quan2021removing,Removing raindrops and rain streaks in one go,,no
deraining,ACDC-Rain,"1,000","1,000",1920×1080,Real,Yes,Scene-level paired,Streak and accumulation,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
deraining,GT-RAIN,"31,524","31,524",Mixed,Real,Yes,Real paired,Streak and accumulation,ECCV 2022,ba2022not,Not just streaks: Towards ground truth for single image deraining,https://github.com/UCLA-VMG/GT-RAIN,no
deraining,RealRain-1K,"1,120","1,120",1512×973,Real,Yes,Real paired,Streak and accumulation,arXiv 2022,li2022toward,Toward real-world single image deraining: A new benchmark and beyond,https://arxiv.org/abs/2206.05514,no
deraining,WeatherStream-Rain,NR,NR,NR,Real,Yes,Approx. real paired,Streak and rain-fog,CVPR 2023,zhang2023weatherstream,Weatherstream: Light transport automation of single image deweathering,,no
deraining,LHP-Rain,"3,000","3,000",1920×1080,Real,Yes,Real paired,Streak and accumulation,ICCV 2023,guo2023sky,From sky to the ground: A large-scale benchmark and simple baseline towards real rain removal,,no
deraining,WeatherBench-Rain,"14,929","14,929",512×512,Real,Yes,Real paired,Rain streak,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
deraining,FoundIR-Rain,"40,000","40,000",NR,Real,Yes,Real paired,Rain streak,ICCV 2025,li2025foundir,Foundir: Unleashing million-scale training data to advance foundation models for image restoration,,no
dehazing,I-HAZE,35,35,5456×3632,Real,Yes,Real paired,Indoor homogeneous physical haze,ACIVS 2018,ancuti2018haze,I-HAZE: A dehazing benchmark with real hazy and haze-free indoor images,https://arxiv.org/abs/1804.05091,no
dehazing,O-HAZE,45,45,5456×3632,Real,Yes,Real paired,Outdoor homogeneous physical haze,CVPRW 2018,ancuti2018ohaze,O-haze: a dehazing benchmark with real hazy and haze-free outdoor images,https://openaccess.thecvf.com/content_cvpr_2018_workshops/w13/html/Ancuti_O-HAZE_A_Dehazing_CVPR_2018_paper.html,no
dehazing,Dense-Haze,33,33,5456×3632,Real,Yes,Real paired,Outdoor dense physical haze,ICIP 2019,ancuti2019dense,Dense-haze: A benchmark for image dehazing with dense-haze and haze-free images,,no
dehazing,NH-HAZE,55,55,5456×3632,Real,Yes,Real paired,Outdoor non-homogeneous physical haze,CVPRW 2020,ancuti2020nh,NH-HAZE: An image dehazing benchmark with non-homogeneous hazy and haze-free images,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w31/Ancuti_NH-HAZE_An_Image_Dehazing_Benchmark_With_Non-Homogeneous_Hazy_and_Haze-Free_CVPRW_2020_paper.pdf,no
dehazing,BeDDE,208,208,Mixed,Real,Yes,Real paired (multi-temporal),Outdoor multi-density natural haze,TIP 2020,zhao2020dehazing,"Dehazing evaluation: Real-world benchmark datasets, criteria, and baselines",,no
dehazing,NH-HAZE2,35,35,1200×1600,Real,Yes,Real paired,Outdoor non-homogeneous physical haze,CVPRW 2021,ancuti2021ntire,NTIRE 2021 nonhomogeneous dehazing challenge report,,no
dehazing,ACDC-Fog,"1,000","1,000",1920×1080,Real,Yes,Scene-level paired,Traffic and urban natural fog,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
dehazing,RW-HAZE,210,210,2560×1440,Real,Yes,Real paired (multi-temporal),Outdoor urban natural haze,ICIP 2022,chen2022rw,Rw-haze: A real-world benchmark dataset to evaluate quantitatively dehazing algorithms,,no
dehazing,HD-NH-HAZE,50,50,4000×6000,Real,Yes,Real paired,High-resolution non-homogeneous haze,CVPRW 2023,ancuti2023ntire,Ntire 2023 hr nonhomogeneous dehazing challenge report,,no
dehazing,WeatherStream-Fog,"4,500","4,500",≥1280×720,Real,Yes,Real paired (multi-temporal),Outdoor natural fog,CVPR 2023,zhang2023weatherstream,Weatherstream: Light transport automation of single image deweathering,,no
dehazing,LMHaze,"5,040","5,040",1200×800,Real,Yes,Real paired,Indoor and outdoor physical haze,ACM MMAsia 2024,zhang2024lmhaze,Lmhaze: intensity-aware image dehazing with a large-scale multi-intensity real haze dataset,https://github.com/wangzrk/LMHaze,yes
dehazing,Phone-Hazy,415,415,Mixed,Real,Yes,Real paired (non-aligned),Mobile-captured natural haze,TCSVT 2025,fan2025non,Non-aligned supervision for real image dehazing,,no
dehazing,RW²AH,"1,758","1,758",Mixed,Real,Yes,Real paired (multi-temporal),Stationary-camera natural haze,AAAI 2025,fang2025guided,Guided real image dehazing using ycbcr color space,,no
dehazing,WeatherBench-Haze,"13,814","13,814",512×512,Real,Yes,Real paired,Outdoor day/night physical haze,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
dehazing,NT-HAZE,40,40,NR,Real,Yes,Real paired,Nighttime physical haze with glow,CVPRW 2026,ancuti2026nt,NT-HAZE: A Benchmark Dataset for Realistic Night-time Image Dehazing,,no
deblurring,RealBlur-R/J,"4,738","4,738",680×773,Real,Yes,Real paired,Camera motion,ECCV 2020,rim2020real,Real-world blur dataset for learning and benchmarking deblurring algorithms,https://github.com/rimchang/RealBlur,no
deblurring,RealBlur-Tele,996,996,950×598,Real,Yes,Real paired,"Camera motion, telephoto",ECCV 2020,rim2020real,Real-world blur dataset for learning and benchmarking deblurring algorithms,https://github.com/rimchang/RealBlur,no
