task,name,input_count,reference_count,resolution,input_source,same_domain,pairing,degradation_profile,year_venue,citation_key,source_title,source_url,selected_evaluation
denoising,CC15,15,15,Mixed,Real,Yes,Real paired,Camera noise,CVPR 2016,nam2016holistic,A holistic approach to cross-channel image noise modeling and its application to image denoising,,no
denoising,DND,50,50,Mixed,Real,Yes,Real paired,Camera noise,CVPR 2017,plotz2017benchmarking,Benchmarking denoising algorithms with real photographs,https://noise.visinf.tu-darmstadt.de/,no
denoising,SIDD,"3,000","3,000",Mixed,Real,Yes,Real paired,Smartphone camera/ISP noise,CVPR 2018,abdelhamed2018high,A high-quality denoising dataset for smartphone cameras,https://abdokamel.github.io/sidd/,no
denoising,PolyU,100,100,512×512,Real,Yes,Real paired,Camera noise,arXiv 2018,xu2018real,Real-world noisy image denoising: A new benchmark,https://arxiv.org/abs/1804.02603,no
denoising,RENOIR,240,240,Mixed,Real,Yes,Real paired,Camera noise,JVCIR 2018,anaya2018renoir,Renoir--a dataset for real low-light image noise reduction,https://adrianbarburesearch.blogspot.com/p/renoir-dataset.html,yes
denoising,NIND,515,101,Mixed,Real,Yes,Real paired,High-ISO camera noise,CVPRW 2019,brummer2019natural,Natural image noise dataset,,no
denoising,HighISO,100,100,512×512,Real,Yes,Real paired,High-ISO JPEG camera noise,TIP 2019,yue2019high,High iso jpeg image denoising by deep fusion of collaborative and convolutional filtering,,no
denoising,PMRID,40,40,3000×4000,Real,Yes,Real paired,Mobile RAW camera noise,ECCV 2020,wang2020practical,Practical deep raw image denoising on mobile devices,,no
denoising,SIDD+,"2,048","2,048",256×256,Real,Yes,Real paired,Smartphone camera/ISP noise,CVPRW 2020,abdelhamed2020ntire,"Ntire 2020 challenge on real image denoising: Dataset, methods and results",,no
denoising,RID,200,200,6000×4000,Real,Yes,Real paired,Real-world camera noise,TPAMI 2020,chen2019real,Real-world image denoising with deep boosting,,no
denoising,SenseNoise-500,"2,000",500,3000×4000,Real,Yes,Real paired,Smartphone RAW camera noise,CVPR 2022,zhang2022idr,Idr: Self-supervised image denoising via iterative data refinement,,no
denoising,BVI-Lowlight,"31,800",40,4928×3264,Real,Yes,Real paired,Low-light ISO camera noise,Signal Process. 2023,malyugina2023topological,A topological loss function for image Denoising on a new BVI-lowlight dataset,,no
denoising,IOCI,848,848,1024×1024,Real,Yes,Real paired,Indoor--outdoor camera noise,arXiv 2023,kong2023comparison,A comparison of image denoising methods,https://arxiv.org/abs/2304.08990,no
denoising,MIDD,"400,000","20,000",Mixed,Real,Yes,Real paired,Mobile RAW camera noise,CVPR 2024,flepp2024real,Real-world mobile image denoising dataset with efficient baselines,,no
denoising,AIM 2025 RAW,400,40,Mixed,Real,Partial,Real mixed,Multi-camera low-light RAW noise,ICCVW 2025,li2025aim,Aim 2025 challenge on real-world raw image denoising,,no
denoising,Noise Clinic,12,0,Mixed,Real,N/A,Real unpaired,Mixed or unknown real noise,IPOL 2015,lebrun2015noise,The noise clinic: a blind image denoising algorithm,,no
denoising,RNI15,15,0,Mixed,Real,N/A,Real unpaired,Camera noise and JPEG compression,TIP 2018,zhang2018ffdnet,FFDNet: Toward a fast and flexible solution for CNN-based image denoising,,no
denoising,OTUR Raw ToF,"1,430",0,NR,Real,No,Real unpaired,Raw ToF depth noise,TPAMI 2023,Wang2023TPAMIOTUR,Optimal Transport for Unsupervised Denoising Learning,https://doi.org/10.1109/TPAMI.2022.3170155,no
deraining,Raindrop Dataset,"1,119","1,119",NR,Real,Yes,Real paired,RD,CVPR 2018,qian2018attentive,Attentive generative adversarial network for raindrop removal from a single image,,no
deraining,SPA-Data,"28,500/ 1,000","28,500/ 1,000",NR,Real,Yes,Real paired,RS,CVPR 2019,wang2019spatial,Spatial attentive single-image deraining with a high quality real rain dataset,https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Spatial_Attentive_Single-Image_Deraining_With_a_High_Quality_Real_Rain_CVPR_2019_paper.html,yes
deraining,RobotCar-Rainy,"4,818","4,818",1280×960,Real,Yes,Real paired,RD,ICRA 2019,porav2019can,I can see clearly now: Image restoration via de-raining,,no
deraining,RainDS-real,750,250,NR,Real,Yes,Real paired,RS+RD+mix,CVPR 2021,quan2021removing,Removing raindrops and rain streaks in one go,,no
deraining,Stereo Waterdrop,642/ 89/ 106,642/ 89/ 106,624×336,Real,Yes,Real paired,RD,IROS 2021,shi2021stereo,Stereo waterdrop removal with row-wise dilated attention,,no
deraining,ACDC-Rain,400/ 100/ 500,400/ 100/ 500,1920×1080,Real,Yes,Scene-level paired,RS+RA,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
deraining,DeepRaindrops,"30,000/ 751","30,000/ 751",1920×1080,Real,Yes,Real paired,RS+RD,ESWA 2022,nguyen2022unfairgan,UnfairGAN: An enhanced generative adversarial network for raindrop removal from a single image,,no
deraining,GT-RAIN,"26,124/ 3,300/ 2,100","26,124/ 3,300/ 2,100",mixed,Real,Yes,Real paired,RS+RA,ECCV 2022,ba2022not,Not just streaks: Towards ground truth for single image deraining,https://github.com/UCLA-VMG/GT-RAIN,no
deraining,RealRain-1k,"1,120","1,120",1512×973,Real,Yes,Real paired,RS+RA,arXiv 2022,li2022toward,Toward real-world single image deraining: A new benchmark and beyond,https://arxiv.org/abs/2206.05514,no
deraining,WeatherStream-Rain,NR,NR,NR,Real,Yes,Approx. real paired,RS+rain-fog,CVPR 2023,zhang2023weatherstream,Weatherstream: Light transport automation of single image deweathering,,no
deraining,LHP-Rain,"3,000","3,000",1920×1080,Real,Yes,Real paired,RS+RA,ICCV 2023,guo2023sky,From sky to the ground: A large-scale benchmark and simple baseline towards real rain removal,,no
deraining,Real-Waterdrop Dataset,255,255,NR,Real,Yes,Real paired,RD,TPAMI 2024,li2024dual,Dual-pixel raindrop removal,,no
deraining,Raindrop Clarity,"15,186 groups","15,186 groups",NR,Real,Yes,Real paired,RD,ECCV 2024,jin2024raindrop,Raindrop clarity: A dual-focused dataset for day and night raindrop removal,,no
deraining,WeatherBench-Rain,"14,729/ 200","14,729/ 200",512×512,Real,Yes,Real paired,RS,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
deraining,FoundIR-Rain,"39,900/ 100","39,900/ 100",NR,Real,Yes,Real paired,RS,ICCV 2025,li2025foundir,Foundir: Unleashing million-scale training data to advance foundation models for image restoration,,no
deraining,FoundIR-Raindrop,"44,828/ 100","44,828/ 100",NR,Real,Yes,Real paired,RD,ICCV 2025,li2025foundir,Foundir: Unleashing million-scale training data to advance foundation models for image restoration,,no
deraining,Raw-Rain Stereo,"48,000/ 9,000/ 6,000",train/test GT,NR,Real,Yes,Real paired,RS+RD,WACV 2026,rothschild2026r,"R 3: Reconstruction, Raw, and Rain: Deraining Directly in the Bayer Domain",,no
deraining,SIRR-Data,147,0,NR,Real,No,Real unpaired,RS,CVPR 2019,wei2019semi,Semi-supervised transfer learning for image rain removal,,no
deraining,RID,"2,495",0,1920×990,Real,No,Real unpaired,RD,CVPR 2019,li2019single,Single image deraining: A comprehensive benchmark analysis,,no
deraining,RIS,"2,048",0,640×368,Real,No,Real unpaired,RA/mist,CVPR 2019,li2019single,Single image deraining: A comprehensive benchmark analysis,,no
deraining,Real200,200,0,NR,Real,No,Real unpaired,RS,arXiv 2020,wei2020semi,Semi-deraingan: A new semi-supervised single image deraining network,https://arxiv.org/abs/2001.08388,no
deraining,Real3000,"2,700/ 300",0,NR,Real,No,Real unpaired,RS,ICCV 2021,liu2021unpaired,Unpaired learning for deep image deraining with rain direction regularizer,,no
deraining,SSID,"37,600 Syn; 10,000/ 200 Real","37,600 Syn",NR,Real and synthetic,Partial,Syn paired + Real unpaired,RS,TPAMI 2023,huang2022memory,Memory uncertainty learning for real-world single image deraining,,no
deraining,RE-RAIN,300 test,0,NR,Real,No,Real unpaired,RS,TPAMI 2025,chen2025towards,Towards unified deep image deraining: A survey and a new benchmark,,no
deraining,Low-Light-Rainy,"8,200/ 800 Syn; 430 Real","8,200/ 800 Syn",NR,Real and synthetic,Partial,Syn paired + Real unpaired,RS+low-light,TCSVT 2025,lin2024dual,Dual degradation representation for joint deraining and low-light enhancement in the dark,,no
deraining,HQ-NightRain,"10,000/ 900/ 300 Syn; 512 Real","10,000/ 900/ 300 Syn",1280×720,Real and synthetic,Partial,Syn paired + Real unpaired,Night RS+RD,NeurIPS 2025,guan2026rethinking,Rethinking nighttime image deraining via learnable color space transformation,,no
deraining,RHR1K,"1,000",0,NR,Real,No,Real unpaired,RS,ESWA 2026,Wen2026ESWA,Unpaired Iterative Prompt Learning for Real-World Image Deraining,https://doi.org/10.1016/j.eswa.2025.131010,no
deraining,4K-RealRain,320,0,3840×2160,Real,No,Real unpaired,RS,TMM 2026,chen2026towards,Towards ultra-high-definition image deraining: A benchmark and an efficient method,,no
dehazing,CHIC-Static,18,2,6000×4000,Real,Yes,Real paired,Indoor multi-density physical fog,ICISP 2016,el2016color,A color image database for haze model and dehazing methods evaluation,,no
dehazing,I-HAZE,35,35,5456×3632,Real,Yes,Real paired,Indoor homogeneous physical haze,ACIVS 2018,ancuti2018haze,I-HAZE: A dehazing benchmark with real hazy and haze-free indoor images,https://arxiv.org/abs/1804.05091,no
dehazing,O-HAZE,45,45,5456×3632,Real,Yes,Real paired,Outdoor homogeneous physical haze,CVPRW 2018,ancuti2018ohaze,O-haze: a dehazing benchmark with real hazy and haze-free outdoor images,https://openaccess.thecvf.com/content_cvpr_2018_workshops/w13/html/Ancuti_O-HAZE_A_Dehazing_CVPR_2018_paper.html,no
dehazing,Dense-Haze,33,33,5456×3632,Real,Yes,Real paired,Outdoor dense homogeneous physical haze,ICIP 2019,ancuti2019dense,Dense-haze: A benchmark for image dehazing with dense-haze and haze-free images,,no
dehazing,NH-HAZE,55,55,5456×3632,Real,Yes,Real paired,Outdoor non-homogeneous physical haze,CVPRW 2020,ancuti2020nh,NH-HAZE: An image dehazing benchmark with non-homogeneous hazy and haze-free images,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w31/Ancuti_NH-HAZE_An_Image_Dehazing_Benchmark_With_Non-Homogeneous_Hazy_and_Haze-Free_CVPRW_2020_paper.pdf,no
dehazing,BeDDE,208,208,Mixed,Real,Yes,Real paired (multi-temporal),Outdoor multi-density natural haze,TIP 2020,zhao2020dehazing,"Dehazing evaluation: Real-world benchmark datasets, criteria, and baselines",,no
dehazing,MRFID,800,200,Mixed,Real,Yes,Real paired (multi-temporal),Outdoor multi-density natural fog,TIP 2021,liu2020image,Image defogging quality assessment: Real-world database and method,,no
dehazing,NH-HAZE2,35,35,1200×1600,Real,Yes,Real paired,Outdoor non-homogeneous physical haze,CVPRW 2021,ancuti2021ntire,NTIRE 2021 nonhomogeneous dehazing challenge report,,no
dehazing,ACDC-Fog,"1,000","1,000",1920×1080,Real,Yes,Scene-level paired,Traffic/urban natural fog,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
dehazing,RW-HAZE,210,210,2560×1440,Real,Yes,Real paired (multi-temporal),Outdoor urban multi-density natural haze,ICIP 2022,chen2022rw,Rw-haze: A real-world benchmark dataset to evaluate quantitatively dehazing algorithms,,no
dehazing,HD-NH-HAZE,50,50,4000×6000,Real,Yes,Real paired,Outdoor high-resolution non-homogeneous physical haze,CVPRW 2023,ancuti2023ntire,Ntire 2023 hr nonhomogeneous dehazing challenge report,,no
dehazing,WeatherStream-Fog (test subset),"4,500","4,500",≥1280×720,Real,Yes,Real paired (multi-temporal),Outdoor natural fog/fog-dominant weather,CVPR 2023,zhang2023weatherstream,Weatherstream: Light transport automation of single image deweathering,,no
dehazing,DNH-HAZE,50,50,4000×6000,Real,Yes,Real paired,Outdoor dense non-homogeneous physical haze,CVPRW 2024,ancuti2024ntire,NTIRE 2024 dense and non-homogeneous dehazing challenge report,,no
dehazing,STEREOFOG,"10,067","10,067",Mixed,Real,Yes,Real paired (non-aligned),Indoor multi-density physical fog,Optics Express 2024,pollak2024image,Image-to-image machine translation enables computational defogging in real-world images,,no
dehazing,LMHaze,"5,040","5,040",1200×800,Real,Yes,Real paired,Indoor/outdoor multi-intensity physical haze,ACM MMAsia 2024,zhang2024lmhaze,Lmhaze: intensity-aware image dehazing with a large-scale multi-intensity real haze dataset,https://github.com/wangzrk/LMHaze,yes
dehazing,Phone-Hazy,415,415,Mixed,Real,Yes,Real paired (non-aligned),Outdoor mobile-captured natural haze,TCSVT 2025,fan2025non,Non-aligned supervision for real image dehazing,,no
dehazing,RW²AH,"1,758","1,758",Mixed,Real,Yes,Real paired (multi-temporal),Outdoor stationary-camera natural haze,AAAI 2025,fang2025guided,Guided real image dehazing using ycbcr color space,,no
dehazing,WeatherBench-Haze,"13,614/ 200","13,614/ 200",512×512,Real,Yes,Real paired,Outdoor day/night physical haze,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
dehazing,NT-HAZE,40,40,NR,Real,Yes,Real paired,Indoor nighttime physical haze with glow,CVPRW 2026,ancuti2026nt,NT-HAZE: A Benchmark Dataset for Realistic Night-time Image Dehazing,,no
dehazing,Fattal collection,31,0,Mixed,Real,No,Real unpaired,Outdoor mixed-density natural haze,ACM TOG 2014,fattal2014dehazing,Dehazing using color-lines,,no
dehazing,LIVE Image Defogging,500,500,Mixed,Real,Yes,Real unpaired,Mixed natural fog/haze,TIP 2015,choi2015referenceless,Referenceless prediction of perceptual fog density and perceptual image defogging,,no
dehazing,Waterloo IVC-Real,22,0,Mixed,Real,No,Real unpaired,Outdoor mixed-density natural haze,ICIP 2015,ma2015dehazing,Perceptual evaluation of single image dehazing algorithms,,no
dehazing,Foggy Driving,101,0,up to 960×1280,Real,No,Real unpaired,Traffic/urban natural fog,IJCV 2018,sakaridis2018semantic,Semantic foggy scene understanding with synthetic data,,no
dehazing,Foggy Zurich,"3,808",0,Mixed,Real,No,Real unpaired,Traffic/urban dense natural fog,ECCV 2018,sakaridis2018model,Model adaptation with synthetic and real data for semantic dense foggy scene understanding,,no
dehazing,HazyCity,845,"1,891",Mixed,Real,Yes,Real unpaired,Outdoor urban natural haze,AAAI 2018,yang2018towards,Towards perceptual image dehazing by physics-based disentanglement and adversarial training,,no
dehazing,RESIDE-RTTS,"4,322",0,Mixed,Real,No,Real unpaired,Traffic/urban natural haze,TIP 2019,li2018benchmarking,Benchmarking single-image dehazing and beyond,https://sites.google.com/view/reside-dehaze-datasets/reside-v0,no
dehazing,RESIDE-URHI,"4,807",0,Mixed,Real,No,Real unpaired,Outdoor mixed natural haze,TIP 2019,li2018benchmarking,Benchmarking single-image dehazing and beyond,https://sites.google.com/view/reside-dehaze-datasets/reside-v0,no
dehazing,HazyWater,"2,090","2,441",640×480,Real,Yes,Real unpaired,Overwater natural haze,ACCV 2020,zheng2020overwater,Overwater image dehazing via cycle-consistent generative adversarial network,,no
dehazing,VHD (real subset),"1,254",0,Mixed,Real,No,Real unpaired,Outdoor varicolored natural haze,CVPR 2022,li2022physically,Physically disentangled intra-and inter-domain adaptation for varicolored haze removal,,no
