year,total,six_task_restoration,broader_restoration,general_weather_translation,is_partial_year,cutoff_date,count_basis
2017,4,0,0,4,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2018,12,4,5,3,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2019,9,4,4,1,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2020,14,6,5,3,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2021,12,6,4,2,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2022,20,10,7,3,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2023,21,11,8,2,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2024,22,10,9,3,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2025,16,8,8,0,false,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
2026,12,9,1,2,true,2026-09-21,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals"
